DEPT,CASEOD,MATRXDEN,ABHV,DCAL,DPOR,GR,NPOR,RHOB,RHOC,SCAL
957.0,4.5,2.71,16.3627,6.6839,28.6821,21.1802,21.1448,2.2195,0.0686,6.8562
956.5,4.5,2.71,16.4324,6.6835,28.9846,22.2988,21.4469,2.2144,0.0644,6.8573
956.0,4.5,2.71,16.5022,6.6858,28.7785,24.7,21.7646,2.2179,0.0624,6.8581
955.5,4.5,2.71,16.5721,6.6885,27.7408,29.1652,21.4773,2.2356,0.0679,6.8571
955.0,4.5,2.71,16.6419,6.6902,26.0625,34.2901,20.5205,2.2643,0.0593,6.855
954.5,4.5,2.71,16.7118,6.6935,23.8099,40.7624,19.554,2.3029,0.0363,6.854
954.0,4.5,2.71,16.7818,6.6975,21.1667,50.388,19.0889,2.348,0.027,6.8539
953.5,4.5,2.71,16.8518,6.6985,18.9187,58.003,18.8951,2.3865,0.0408,6.8536
953.0,4.5,2.71,16.9217,6.6947,17.432,59.0967,18.5198,2.4119,0.057,6.8539
952.5,4.5,2.71,16.9916,6.6927,16.0436,62.0839,17.9965,2.4357,0.0583,6.8548
952.0,4.5,2.71,17.0615,6.6982,14.2889,68.2278,17.8598,2.4657,0.056,6.8542
951.5,4.5,2.71,17.1317,6.704,12.6115,72.7002,18.2814,2.4943,0.0669,6.8567
951.0,4.5,2.71,17.2021,6.7114,11.5618,77.734,19.001,2.5123,0.0709,6.868
